scraped_org_name,source_type,source_name,role,source_url,verified_nonprofit,propublica_ein,propublica_org_name
Boone County Community Foundation (IL),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Boone County Community Foundation, Inc. (WV)",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Boreal Waters Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Borrego Valley Endowment Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Boston Scientific Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Braddock Family Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Brainerd Lakes Area Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Briar Hill Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Broadwater Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Brooklyn Org,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Brooks Institute for Animal Rights Law and Policy,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Broomfield Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"James Graham Brown Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Brown-Forman Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Peter and Carmen Lucia Buck Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bucks County Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Buhl Regional Health Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bulat Utemuratov Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bunbury Company,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Burton Family Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bush Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
C.S. Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Calgary Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,true,980221240,The Calgary Foundation
California Black Freedom Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
California Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
California HealthCare Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The California Wellness Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Camber Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Camp Hill Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Candid,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Carbon County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Caring Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Carlsbad Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Carmel Hill Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Carnegie Corporation of New York,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Carter County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Annie E. Casey Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Marguerite Casey Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Casey Family Programs,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Cass County Community Foundation (IN),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Harold K.L. Castle Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Cattaraugus Region Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Caufield Family Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Cedar County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Cedar Falls Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Missoula Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Central Alabama Community Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Central Kansas Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Central Kentucky Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Central Louisiana Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Central Minnesota Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,false,,
"Central New York Community Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Centre Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"CF Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
CFLeads,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Chaffee County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Chan Zuckerberg Initiative,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Charitable Foundation of the Islands,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,true,274027791,Charitable Foundation Of The Islands Inc
CAF America,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Charlotte Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Charlottesville Area Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Chautauqua Region Community Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Cherokee Preservation Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Chesapeake Charities, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Chester County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Christ Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Christensen Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Chuckanut Health Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Cisco Systems Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Citi Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Citizens Charitable Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Clara Lionel Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Clark Hill, P.L.C.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Clay County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Clementine Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
CLIMA Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Climate and Clean Energy Equity Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Clive Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Coastal Bend Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Coastal Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Cobb Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Collaboratory,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Colorado Gives Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Colorado Health Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Colorado Trust,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Columbus Community Foundation Inc.,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Columbus Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Comcast,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Comer Family Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Commonwealth Charitable Management, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Commonwealth Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Communities Foundation of Oklahoma, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Communities of Coastal Georgia Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Chest of New Britain and Berlin Inc. Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation Boulder County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for a Better Bigfork,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for a Greater Richmond,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation for Brevard, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Greater Atlanta,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Greater Buffalo,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation for Greater New Haven,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Loudoun & Northern Fauquier Counties,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for MetroWest,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Mississippi,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Monterey County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Nantucket,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"The Community Foundation For Northeast Florida, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation for Northern Virginia,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation for Ocala Marion County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation For Palm Beach & Martin Counties,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for San Benito County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Southeast Michigan,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Southern Arizona,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Southwest Washington,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for the Alleghenies,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation for the Fox Valley Region, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for the Greater Capital Region,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for the Land of Lincoln,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for the Ohio Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation for the Twin Tiers, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for Western Iowa,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Acadiana,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Anne Arundel County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Brazoria County, Texas",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,true,760427068,Community Foundation Of Brazoria County Texas
"Community Foundation of Broward, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Burke County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Central Georgia,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Central Missouri,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Central Wisconsin,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Chippewa County, Inc. (WI)",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Collier Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"The Community Foundation of Dickinson County, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Dunn County, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Dutchess County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of East Central Illinois,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of East Mississippi,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Fayette County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Florida Keys,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of Frederick County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Grant County, Indiana",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Central Kansas Community Foundation - Butler County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,false,,
"Community Foundation of Greater Chattanooga, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greater Clemson,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greater Des Moines,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greater Dubuque,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greater Flint,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"The Community Foundation of Greater Greensboro, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greater Muscatine,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greater New Britain,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greene County (PA),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Greenville (SC),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Grundy County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of Harrisonburg & Rockingham County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Henderson County, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of Howard County (MD),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Jackson Hole,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Johnson County (IA),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Louisville,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Madison and Jefferson County, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of Mendocino County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Muncie & Delaware County, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"The Community Foundation of NC East, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Nevada County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of North Central Florida,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of North Central Wisconsin,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of North Florida, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,true,593473384,Community Foundation Of North Florida Inc
North Texas Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Northern Nevada,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Northwest Mississippi,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of Orange, Sullivan & Rockland",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Otsego County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
